Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                                     ",NORTHRIDGE               ,CA ,KCSN        ,88.5  MHz ,203,DA  ,B1 ,LIC    ,BLED   -20020905AAM ,0.37   kW ,0.37   kW ,501,501,62949,N ,34,19,10,W ,118,33,15,943.3  m,943.3  m,43338,0,-       ,25.9   m,611615
WAYLAND BAPTIST COLLEGE                                                     ,PLAINVIEW                ,TX ,KWLD        ,91.5  MHz ,218,ND  ,A  ,LIC    ,BLED   -1506        ,0.37   kW ,0.37   kW ,32,32,71150,N ,34,11,14,W ,101,43,32,1063.  m,1063.0 m,-         ,-       ,-       ,32.    m,294571
THE COLORADO COLLEGE                                                        ,STARKVILLE               ,CO ,KCCS        ,91.7  MHz ,219,ND  ,A  ,LIC    ,BLED   -20080912AAL ,0.37   kW ,0.37   kW ,303,303,92310,N ,36,59,33,W ,104,28,24,2615.  m,2615.0 m,-         ,-       ,1051897,20.    m,1272898
INTERMOUNTAIN PUBLIC RADIO                                                  ,THAYNE                   ,WY ,KTYN        ,91.9  MHz ,220,ND  ,C3 ,APP    ,BPED   -20141027AAU ,0.37   kW ,0.37   kW ,708,708,93901,N ,43,6,18,W ,111,7,17,2732.  m,2732.0 m,-         ,-       ,-       ,19.    m,1655604
SUTTON RADIOCASTING CORPORATION                                             ,CLAYTON                  ,GA ,WRBN        ,96.3  MHz ,242,DA  ,A  ,CP     ,BPH    -20120702ABA ,0.37   kW ,0.37   kW ,395,395,56201,N ,34,54,24,W ,83,24,56,1126.  m,1126.0 m,109835,0,-       ,29.    m,1497108
"REGIONAL RADIO GROUP, LLC                                                   ",LAKE GEORGE              ,NY ,WCKM-FM     ,98.5  MHz ,253,ND  ,A  ,LIC    ,BLH    -20081017AHH ,0.37   kW ,0.37   kW ,393,393,19650,N ,43,25,12,W ,73,45,37,674.   m,674.0  m,-         ,-       ,-       ,40.    m,1272981
"MOUNTAINPLEX MEDIA II, LLC                                                  ",HINTON                   ,WV ,WMTD-FM     ,102.3 MHz ,272,ND  ,A  ,LIC    ,BLH    -19960415KC  ,0.37   kW ,0.37   kW ,388,388,6012,N ,37,42,53,W ,80,57,9,1086.  m,1086.0 m,-         ,-       ,-       ,46.    m,223536
"FM RADIO LICENSES, LLC                                                      ",STATE COLLEGE            ,PA ,WRSC-FM     ,103.1 MHz ,276,ND  ,A  ,LIC    ,BLH    -19980911KD  ,0.37   kW ,0.37   kW ,398,398,48926,N ,40,45,9,W ,77,45,15,819.   m,819.0  m,-         ,-       ,1025235,85.    m,273827
SUTTON RADIOCASTING CORPORATION                                             ,CLAYTON                  ,GA ,WRBN        ,104.1 MHz ,281,ND  ,A  ,LIC    ,BMLH   -20021011ABP ,0.37   kW ,0.37   kW ,395,395,56201,N ,34,54,24,W ,83,24,56,1126.  m,1126.0 m,-         ,-       ,-       ,29.    m,656415
ADAM D. GEARHEART                                                           ,HAROLD                   ,KY ,WXLR        ,104.9 MHz ,285,ND  ,A  ,LIC    ,BLH    -19940124KD  ,0.37   kW ,0.37   kW ,281,281,440,N ,37,31,59,W ,82,29,40,609.   m,609.0  m,-         ,-       ,-       ,57.    m,194118
"ENTRAVISION HOLDINGS, LLC                                                   ",VENTURA                  ,CA ,KSSC        ,107.1 MHz ,296,ND  ,A  ,LIC    ,BLH    -20010102AAI ,0.37   kW ,0.37   kW ,395,395,33567,N ,34,20,55,W ,119,19,57,679.   m,679.0  m,30570,-       ,1015915,76.    m,544529
"CENTRAL PENNSYLVANIA CHRISTIAN INSTITUTE, INC.                              ",MIFFLINTOWN              ,PA ,WQJU        ,107.1 MHz ,296,ND  ,A  ,LIC    ,BLED   -20010612ABA ,0.37   kW ,0.37   kW ,397,397,9945,N ,40,34,20,W ,77,30,51,664.8  m,664.8  m,31225,-       ,1207080,45.7   m,568718
"CESSNA COMMUNICATIONS, INC.                                                 ",BEDFORD                  ,PA ,WBVE        ,107.5 MHz ,298,ND  ,A  ,LIC    ,BMLH   -19910827KE  ,0.37   kW ,0.37   kW ,399,399,10069,N ,40,0,46,W ,78,33,12,818.   m,818.0  m,-         ,-       ,-       ,53.    m,164264
UNIVERSITY OF CENTRAL FLORIDA                                               ,ORLANDO                  ,FL ,WUCF-FM     ,89.9  MHz ,210,DA  ,C3 ,LIC    ,BMLED  -20140515ADY ,0.36   kW ,5.6    kW ,145,148,69229,N ,28,35,26,W ,81,12,18,161.0  m,164.   m,33028,0,1205212,142.   m,1637561
BLOOMFIELD HILLS SCHOOL DISTRICT                                            ,BLOOMFIELD HILLS         ,MI ,WBFH        ,88.1  MHz ,201,DA  ,A  ,LIC    ,BLED   -19920406KC  ,0.36   kW ,0.36   kW ,55,55,5872,N ,42,34,42,W ,83,17,10,310.   m,310.0  m,13908,0,-       ,29.    m,172389
MINNESOTA PUBLIC RADIO                                                      ,REDWOOD FALLS            ,MN ,KRFI        ,88.1  MHz ,201,ND  ,A  ,LIC    ,BLED   -20101213AAW ,0.36   kW ,0.36   kW ,51.1,51.1,173553,N ,44,32,28,W ,95,10,58,363.   m,363.0  m,-         ,-       ,1009336,40.    m,1410077
"RADIO FREE PALMER, INC. (NEW BOARD)                                         ",SUTTON                   ,AK ,KVRF        ,89.5  MHz ,208,ND  ,A  ,LIC    ,BLED   -20110907AAJ ,0.36   kW ,0.36   kW ,-435,-435,177165,N ,61,44,18.2,W ,148,54,26.6,297.4  m,297.4  m,-         ,-       ,-       ,14.7   m,1441124
"OUR LADY OF GUADALUPE RADIO, INC D/B/A ANNUNCIATION RADIO                   ",LEXINGTON                ,OH ,WFOT        ,89.5  MHz ,208,ND  ,A  ,LIC    ,BMLED  -20130912ABZ ,0.36   kW ,0.36   kW ,92.8,92.8,92877,N ,40,43,36,W ,82,36,59,480.1  m,480.1  m,-         ,-       ,-       ,41.1   m,1570000
ACTIVIST SAN DIEGO                                                          ,RAMONA                   ,CA ,NEW         ,89.9  MHz ,210,DA  ,B1 ,APP    ,BNPED  -20071022AEZ ,0.36   kW ,0.36   kW ,708,708,176023,N ,33,18,46,W ,116,35,2,1911.  m,1911.0 m,104374,0,-       ,10.    m,1420564
RUSSELLVILLE EDUC B/C FOUNDATION                                            ,RUSSELLVILLE             ,AR ,KMTC        ,91.1  MHz ,216,ND  ,A  ,LIC    ,BLED   -19870611KA  ,0.36   kW ,0.36   kW ,-19,-19,58266,N ,35,18,11,W ,93,8,42,161.   m,161.0  m,-         ,-       ,-       ,58.    m,102094
"4-K RADIO, INC.                                                             ",GRANGEVILLE              ,ID ,KORT-FM     ,92.7  MHz ,224,ND  ,C3 ,LIC    ,BLH    -19901009KB  ,0.36   kW ,0.36   kW ,717,717,136,N ,45,51,48,W ,116,7,24,1889.  m,1889.0 m,-         ,-       ,-       ,23.    m,153381
EMERALD WAVE MEDIA                                                          ,GUADALUPE                ,CA ,KRTO        ,97.1  MHz ,246,ND  ,A  ,LIC    ,BLH    -20071015AIH ,0.36   kW ,0.36   kW ,404,404,7101,N ,34,53,52,W ,120,35,23,507.   m,507.0  m,-         ,-       ,-       ,13.    m,1212143
"KZLZ, LLC                                                                   ",CASAS ADOBES             ,AZ ,KZLZ        ,105.3 MHz ,287,DA  ,C3 ,APP    ,BPH    -20131118ARE ,0.36   kW ,0.36   kW ,578,578,36022,N ,32,14,57,W ,111,6,59,1350.  m,1350.0 m,116992,10,1218276,24.    m,1592914
"MAMMOTH MOUNTAIN FM ASSOCIATES, INC.                                        ",MAMMOTH LAKES            ,CA ,KMMT        ,106.5 MHz ,293,ND  ,B1 ,LIC    ,BLH    -19940712KX  ,0.36   kW ,0.36   kW ,723,723,39767,N ,37,37,42,W ,119,1,47,3338.  m,3338.0 m,-         ,-       ,-       ,12.    m,200902
"BACKYARD BROADCASTING PA, LLC                                               ",WILLIAMSPORT             ,PA ,WLMY        ,107.9 MHz ,300,ND  ,A  ,LIC    ,BLH    -19991214ABJ ,0.36   kW ,0.36   kW ,393,393,3633,N ,41,12,39,W ,76,57,17,645.   m,645.0  m,30458,-       ,1027179,41.    m,428883
PORTSMOUTH ABBEY SCHOOL                                                     ,PORTSMOUTH               ,RI ,WJHD        ,90.7  MHz ,214,ND  ,A  ,LIC    ,BLED   -19851106KB  ,0.36   kW ,0.     kW ,24,0,53078,N ,41,36,6,W ,71,16,20,45.    m,0.0    m,-         ,-       ,-       ,14.    m,83201
-                                                                           ,CANMORE                  ,AB ,CJMTFM      ,106.5 MHz ,293,ND  ,A  ,OPER   ,-      --           ,0.36   kW ,0.     kW ,-554,0,94960,N ,51,4,44,W ,115,19,31,1382.  m,0.0    m,-         ,-       ,-       ,0.     m,298621
"WESTERN INSPIRATIONAL BROADCASTERS, INC.                                    ",BILLINGS                 ,MT ,KLMT        ,89.3  MHz ,207,ND  ,A  ,LIC    ,BLED   -20030121AAQ ,0.35   kW ,0.98   kW ,161,161,89849,N ,45,45,48,W ,108,27,20,1205.  m,1205.0 m,-         ,-       ,1214911,83.    m,623421
"SOUND OF LIFE, INC.                                                         ",LIBERTY                  ,NY ,WGWR        ,88.1  MHz ,201,DA  ,A  ,CP     ,BPED   -20140303AAG ,0.35   kW ,0.35   kW ,246,246,79020,N ,41,48,3.9,W ,74,47,4.9,737.   m,737.0  m,117913,0,1013992,79.    m,1627709
"WESTERN INSPIRATIONAL BROADCASTERS, INC.                                    ",RELIANCE                 ,WY ,KTME        ,89.5  MHz ,208,ND  ,A  ,LIC    ,BLED   -20101004AAC ,0.35   kW ,0.35   kW ,342.4,342.4,176985,N ,41,29,47.1,W ,109,20,41.5,2361.  m,2361.0 m,-         ,-       ,-       ,29.    m,1402150
-                                                                           ,CHAPLEAU                 ,ON ,CBCUFM      ,89.9  MHz ,210,ND  ,A  ,OPER   ,-      --           ,0.35   kW ,0.35   kW ,70,70,95978,N ,47,51,15,W ,83,25,8,0.     m,0.0    m,-         ,-       ,-       ,0.     m,296627
"FAMILY LIFE MINISTRIES, INC.                                                ",TROUT RUN                ,PA ,WCIT-FM     ,90.1  MHz ,211,ND  ,A  ,LIC    ,BLED   -20010827AAE ,0.35   kW ,0.35   kW ,90,90,106476,N ,41,27,26,W ,77,6,55,573.   m,573.0  m,-         ,-       ,-       ,24.    m,578897
WASHINGTON STATE UNIVERSITY                                                 ,CLARKSTON                ,WA ,KNWV        ,90.5  MHz ,213,DA  ,A  ,LIC    ,BLED   -20131017ABK ,0.35   kW ,0.35   kW ,340,340,71042,N ,46,27,26,W ,117,6,0,930.   m,930.0  m,116368,0,-       ,40.    m,1578769
GETTYSBURG COLLEGE                                                          ,GETTYSBURG               ,PA ,WZBT        ,91.1  MHz ,216,ND  ,A  ,LIC    ,BLED   -20080922ADT ,0.35   kW ,0.35   kW ,35.5,35.5,24132,N ,39,50,29,W ,77,13,26,213.3  m,213.3  m,-         ,-       ,1250072,65.5   m,1263750
THE MOODY BIBLE INSTITUTE OF CHICAGO                                        ,JACKSON                  ,WY ,KMWY        ,91.1  MHz ,216,ND  ,A  ,LIC    ,BLED   -20100528AAB ,0.35   kW ,0.35   kW ,312,312,122126,N ,43,27,40,W ,110,45,9,2467.  m,2467.0 m,-         ,-       ,1007984,35.    m,1414070
"GATEWAY BROADCASTING, INC.                                                  ",MIDDLESBORO              ,KY ,WMIK-FM     ,92.7  MHz ,224,ND  ,A  ,LIC    ,BLH    -20110324ABU ,0.35   kW ,0.35   kW ,410,410,14731,N ,36,35,39,W ,83,47,42,941.   m,941.0  m,-         ,-       ,1277821,14.    m,1421186
"WITF, INC.                                                                  ",CHAMBERSBURG             ,PA ,WYPM        ,93.3  MHz ,227,ND  ,A  ,LIC    ,BLED   -20081126ASZ ,0.35   kW ,0.35   kW ,412,412,49384,N ,40,2,54,W ,77,45,2,721.   m,721.0  m,-         ,-       ,-       ,13.7   m,1282478
-                                                                           ,PORT ALBERNI             ,BC ,CBTQFM      ,98.1  MHz ,251,DA  ,A  ,OPER   ,-      --           ,0.35   kW ,0.35   kW ,-229,-229,96653,N ,49,14,29,W ,124,47,3,0.     m,0.0    m,-         ,0,-       ,0.     m,300451
EDUCATIONAL MEDIA FOUNDATION                                                ,TALENT                   ,OR ,KLMD        ,101.1 MHz ,266,ND  ,A  ,LIC    ,BLH    -20140117AAG ,0.35   kW ,0.35   kW ,408,408,166023,N ,42,17,52,W ,122,45,0,1165.  m,1165.0 m,-         ,-       ,-       ,7.     m,1620013
"WOODCHUCK RADIO, LLC                                                        ",BRANDON                  ,VT ,WEXP        ,101.5 MHz ,268,DA  ,A  ,LIC    ,BLH    -19990412KD  ,0.35   kW ,0.35   kW ,398,398,65961,N ,43,39,31,W ,73,6,26,655.   m,655.0  m,15867,0,1210439,53.    m,283788
"WAZX-FM, INC                                                                ",CLEVELAND                ,GA ,WAZX-FM     ,101.9 MHz ,270,ND  ,A  ,LIC    ,BLH    -20111205AAA ,0.35   kW ,0.35   kW ,409.7,409.7,71198,N ,34,30,32,W ,83,48,27,827.9  m,827.9  m,-         ,-       ,-       ,48.    m,1472482
"WDXC RADIO, INC.                                                            ",POUND                    ,VA ,WDXC        ,102.3 MHz ,272,ND  ,A  ,LIC    ,BMLH   -19921221KA  ,0.35   kW ,0.35   kW ,401,401,71361,N ,37,9,7,W ,82,38,41,956.   m,956.0  m,-         ,-       ,-       ,29.    m,180053
"RAYMARK BROADCASTING CO., INC.                                              ",CURWENSVILLE             ,PA ,WOKW        ,102.9 MHz ,275,ND  ,A  ,LIC    ,BLH    -19910410KB  ,0.35   kW ,0.35   kW ,288,288,55251,N ,41,4,29,W ,78,31,58,814.   m,814.0  m,-         ,-       ,1025881,119.   m,159169
EDUCATIONAL MEDIA FOUNDATION                                                ,WARDENSVILLE             ,WV ,WTCF        ,103.3 MHz ,277,ND  ,A  ,LIC    ,BMLED  -20131113BGO ,0.35   kW ,0.35   kW ,410,410,189559,N ,39,10,58,W ,78,23,23,797.   m,797.0  m,-         ,-       ,-       ,17.    m,1593690
"WASHINGTON DC FCC LICENSE SUB, LLC                                          ",BRADDOCK HEIGHTS         ,MD ,WTLP        ,103.9 MHz ,280,ND  ,A  ,LIC    ,BLH    -20060612ABE ,0.35   kW ,0.35   kW ,292,292,47105,N ,39,27,50,W ,77,29,44,499.   m,499.0  m,-         ,-       ,-       ,35.    m,1128851
"PENFOLD COMMUNICATIONS, INC.                                                ",COMMERCE                 ,TX ,KYJC        ,91.3  MHz ,217,ND  ,A  ,LIC    ,BLED   -20050511ABA ,0.35   kW ,0.     kW ,53.2,0,121869,N ,33,15,37,W ,95,52,59,212.   m,0.0    m,-         ,-       ,1048401,46.    m,1058976
-                                                                           ,CHAPLEAU                 ,ON ,CBON28      ,91.9  MHz ,220,ND  ,A  ,OPER   ,-      --           ,0.35   kW ,0.     kW ,70,0,96374,N ,47,51,15,W ,83,25,8,0.     m,0.0    m,-         ,-       ,-       ,0.     m,299411
-                                                                           ,PORT ALBERNI             ,BC ,CBUF-8      ,94.9  MHz ,235,DA  ,A  ,OPER   ,-      --           ,0.35   kW ,0.     kW ,-229,0,95376,N ,49,14,29,W ,124,47,3,0.     m,0.0    m,-         ,0,-       ,0.     m,293097
-                                                                           ,CACHE CREEK              ,BC ,CIFM-6      ,95.3  MHz ,237,DA  ,A  ,OPER   ,-      --           ,0.35   kW ,0.     kW ,-96,0,94633,N ,50,45,20,W ,121,18,0,0.     m,0.0    m,-         ,0,-       ,0.     m,289761
DELTA MEDIA CORPORATION                                                     ,OAK GROVE                ,LA ,KLCJ        ,104.1 MHz ,281,ND  ,A  ,LIC    ,BLH    -20121126ASY ,0.35   kW ,0.     kW ,12,0,183334,N ,29,48,55,W ,93,6,56,12.    m,0.0    m,-         ,-       ,-       ,11.    m,1526208
WASHINGTON STATE UNIVERSITY                                                 ,MANSON                   ,WA ,KHNW        ,88.3  MHz ,202,DA  ,A  ,LIC    ,BLED   -20120319ABC ,0.34   kW ,0.34   kW ,166,166,172300,N ,47,51,16,W ,120,9,59,910.   m,910.0  m,108243,25,-       ,20.    m,1491664
OREGON STATE UNIVERSITY                                                     ,CORVALLIS                ,OR ,KBVR        ,88.7  MHz ,204,ND  ,A  ,LIC    ,BLED   -19810209AS  ,0.34   kW ,0.34   kW ,-25,-25,50623,N ,44,33,50,W ,123,16,30,116.   m,116.0  m,-         ,-       ,-       ,43.    m,27681
SOUTHERN CALIFORNIA PUBLIC RADIO                                            ,COACHELLA                ,CA ,KVLA-FM     ,90.3  MHz ,212,DA  ,A  ,LIC    ,BLED   -20041108AAK ,0.34   kW ,0.34   kW ,175,175,85911,N ,33,48,8,W ,116,13,30,539.6  m,539.6  m,67446,0,-       ,12.3   m,1035952
MARY V. HARRIS FOUNDATION                                                   ,WILLIAMSVILLE            ,NY ,970516MA    ,90.7  MHz ,214,DA  ,A  ,APP    ,BPED   -19970516MA  ,0.34   kW ,0.34   kW ,50,50,86809,N ,42,55,27,W ,78,46,41,244.   m,244.0  m,68826,0,-       ,45.    m,1042360
RICHMOND COUNTY BOARD OF EDUCATION                                          ,ROCKINGHAM               ,NC ,WRSH        ,91.1  MHz ,216,ND  ,A  ,LIC    ,BLED   -19950302KC  ,0.34   kW ,0.34   kW ,49,49,56322,N ,34,56,59,W ,79,42,52,148.   m,148.0  m,-         ,-       ,-       ,52.    m,206997
"FOUNDATION FOR CREATIVE BROADCASTING, INC.                                  ",TUCSON                   ,AZ ,KXCI        ,91.3  MHz ,217,DA  ,C2 ,LIC    ,BLED   -19910917KB  ,0.34   kW ,0.34   kW ,1110,1110,22167,N ,32,24,54,W ,110,42,56,2646.  m,2646.0 m,14115,0,-       ,56.    m,164798
"LAZER LICENSES, LLC                                                         ",OCEANO                   ,CA ,KLMM        ,94.1  MHz ,231,ND  ,A  ,LIC    ,BLH    -20090910ACC ,0.34   kW ,0.34   kW ,418,418,46401,N ,34,53,52,W ,120,35,21,512.   m,512.0  m,-         ,-       ,-       ,27.    m,1332144
HIGH IMPACT COMMUNICATIONS INC                                              ,STAUNTON                 ,VA ,WTON-FM     ,94.3  MHz ,232,ND  ,B1 ,LIC    ,BLH    -19901127KB  ,0.34   kW ,0.34   kW ,680,680,50078,N ,38,9,55,W ,79,18,51,1334.  m,1334.0 m,-         ,-       ,-       ,12.    m,154661
"MOUNT WILSON FM BROADCASTERS, INC.                                          ",JOHANNESBURG             ,CA ,KGIL        ,98.5  MHz ,253,DA  ,A  ,LIC    ,BLH    -20131023AEA ,0.34   kW ,0.34   kW ,417,417,183344,N ,35,28,38,W ,117,41,58,1375.  m,1375.0 m,101559,0,-       ,40.2   m,1558931
HIGH DESERT BROADCASTING LLC                                                ,TEHACHAPI                ,CA ,KKZQ        ,100.1 MHz ,261,ND  ,A  ,LIC    ,BLH    -20001220AAT ,0.34   kW ,0.34   kW ,189,189,85024,N ,35,4,30,W ,118,22,7,1549.  m,1549.0 m,-         ,-       ,1201312,17.    m,542888
ALPHA MEDIA LICENSEE LLC                                                    ,PRINCETON                ,WV ,WKOY-FM     ,100.9 MHz ,265,ND  ,A  ,LIC    ,BLH    -20000418ABE ,0.34   kW ,0.34   kW ,409,409,44002,N ,37,15,5,W ,81,11,20,1206.  m,1206.0 m,-         ,-       ,1057623,90.    m,497675
NEW LIFE ASSEMBLY CHURCH                                                    ,CHOTEAU                  ,MT ,KUDI        ,88.7  MHz ,204,ND  ,A  ,LIC    ,BLED   -20130614ACE ,0.33   kW ,0.33   kW ,138,138,176530,N ,47,45,21,W ,112,9,42,1353.  m,1353.0 m,-         ,-       ,-       ,10.    m,1559339
COVENANT NETWORK                                                            ,MOBERLY                  ,MO ,KBKC        ,90.1  MHz ,211,ND  ,A  ,LIC    ,BLED   -20110215ACP ,0.33   kW ,0.33   kW ,77,77,90381,N ,39,24,39,W ,92,26,46,325.   m,325.0  m,-         ,-       ,1003055,56.    m,1418023
BOARD OF TRUSTEES OF SKAGIT VALLEY COLLEGE                                  ,HAMILTON                 ,WA ,KSVU        ,90.1  MHz ,211,ND  ,A  ,LIC    ,BLED   -20110325AAG ,0.33   kW ,0.33   kW ,-159,-159,174175,N ,48,33,16,W ,121,47,40,431.   m,431.0  m,-         ,-       ,1215765,50.    m,1419889
WESTPORT CT. BOARD OF EDUCATION                                             ,WESTPORT                 ,CT ,WWPT        ,90.3  MHz ,212,ND  ,A  ,LIC    ,BLED   -19860224KF  ,0.33   kW ,0.33   kW ,39,39,72035,N ,41,10,19,W ,73,19,43,96.    m,96.0   m,-         ,-       ,-       ,20.    m,86073
"AMFM RADIO LICENSES, L.L.C.                                                 ",NEW PALTZ                ,NY ,WBWZ        ,93.3  MHz ,227,ND  ,A  ,LIC    ,BLH    -20060802ALO ,0.33   kW ,0.33   kW ,295,295,48615,N ,41,41,58,W ,74,0,11,411.   m,411.0  m,-         ,-       ,1005402,118.   m,1140533
